Time Speed (cm/s),Speed (cm/s),Time Running Definition,Running Definition
1870.5,0.0,1870.5,0.0
1870.75,0.0,1870.75,0.0
1871.0,0.0,1871.0,0.0
1871.25,0.0,1871.25,0.0
1871.5,0.0,1871.5,0.0
1871.75,0.0,1871.75,0.0
1872.0,0.0,1872.0,0.0
1872.25,0.0,1872.25,0.0
1872.5,0.0,1872.5,0.0
1872.75,0.0,1872.75,0.0
1873.0,0.0,1873.0,0.0
1873.25,0.0,1873.25,0.0
1873.5,0.0,1873.5,0.0
1873.75,0.0,1873.75,0.0
1874.0,0.0,1874.0,0.0
1874.25,0.0,1874.25,0.0
1874.5,0.0,1874.5,0.0
1874.75,0.0,1874.75,0.0
1875.0,0.0,1875.0,0.0
1875.25,0.0,1875.25,0.0
1875.5,0.0,1875.5,0.0
1875.75,0.0,1875.75,0.0
1876.0,0.0,1876.0,0.0
1876.25,0.0,1876.25,0.0
1876.5,0.0,1876.5,0.0
1876.75,0.0,1876.75,0.0
1877.0,0.0,1877.0,0.0
1877.25,0.0,1877.25,0.0
1877.5,0.0,1877.5,0.0
1877.75,0.0,1877.75,0.0
1878.0,0.0,1878.0,0.0
1878.25,0.0,1878.25,0.0
1878.5,0.0,1878.5,0.0
1878.75,0.0,1878.75,0.0
1879.0,0.0,1879.0,0.0
1879.25,0.0,1879.25,0.0
1879.5,0.0,1879.5,0.0
1879.75,0.0,1879.75,0.0
1880.0,0.0,1880.0,0.0
1880.25,0.0,1880.25,0.0
1880.5,0.0,1880.5,0.0
1880.75,0.0,1880.75,0.0
1881.0,0.0,1881.0,0.0
1881.25,0.0,1881.25,0.0
1881.5,0.0,1881.5,0.0
1881.75,0.0,1881.75,0.0
1882.0,0.0,1882.0,0.0
1882.25,0.0,1882.25,0.0
1882.5,0.0,1882.5,0.0
1882.75,0.0,1882.75,0.0
1883.0,0.0,1883.0,0.0
1883.25,0.0,1883.25,0.0
1883.5,0.0,1883.5,0.0
1883.75,0.0,1883.75,0.0
1884.0,0.0,1884.0,0.0
1884.25,0.0,1884.25,0.0
1884.5,0.0,1884.5,0.0
1884.75,0.0,1884.75,0.0
1885.0,0.0,1885.0,0.0
1885.25,0.0,1885.25,0.0
1885.5,0.0,1885.5,0.0
1885.75,0.0,1885.75,0.0
1886.0,0.0,1886.0,0.0
1886.25,0.0,1886.25,0.0
1886.5,0.0,1886.5,0.0
1886.75,0.0,1886.75,0.0
1887.0,0.0,1887.0,0.0
1887.25,0.0,1887.25,0.0
1887.5,0.0,1887.5,0.0
1887.75,0.0,1887.75,0.0
1888.0,0.0,1888.0,0.0
1888.25,0.0,1888.25,0.0
1888.5,0.0,1888.5,0.0
1888.75,0.0,1888.75,0.0
1889.0,0.0,1889.0,0.0
1889.25,0.0,1889.25,0.0
1889.5,0.0,1889.5,0.0
1889.75,0.0,1889.75,0.0
1890.0,0.0,1890.0,0.0
1890.25,0.0,1890.25,0.0
1890.5,0.0,1890.5,0.0
1890.75,0.0,1890.75,0.0
1891.0,0.0,1891.0,0.0
1891.25,0.0,1891.25,0.0
1891.5,0.0,1891.5,0.0
1891.75,0.0,1891.75,0.0
1892.0,0.0,1892.0,0.0
1892.25,0.0,1892.25,0.0
1892.5,0.0,1892.5,0.0
1892.75,0.0,1892.75,0.0
1893.0,0.0,1893.0,0.0
1893.25,0.0,1893.25,0.0
1893.5,0.0,1893.5,0.0
1893.75,0.0,1893.75,0.0
1894.0,0.0,1894.0,0.0
1894.25,0.0,1894.25,0.0
1894.5,0.0,1894.5,0.0
1894.75,0.0,1894.75,0.0
1895.0,0.0,1895.0,0.0
1895.25,0.0,1895.25,0.0
1895.5,0.0,1895.5,0.0
1895.75,0.0,1895.75,0.0
1896.0,0.0,1896.0,0.0
1896.25,0.0,1896.25,0.0
1896.5,0.0,1896.5,0.0
1896.75,0.0,1896.75,0.0
1897.0,0.0,1897.0,0.0
1897.25,0.0,1897.25,0.0
1897.5,0.0,1897.5,0.0
1897.75,0.0,1897.75,0.0
1898.0,0.0,1898.0,0.0
1898.25,0.0,1898.25,0.0
1898.5,0.0,1898.5,0.0
1898.75,0.0,1898.75,0.0
1899.0,0.0,1899.0,0.0
1899.25,0.0,1899.25,0.0
1899.5,0.0,1899.5,0.0
1899.75,0.0,1899.75,0.0
1900.0,0.0,1900.0,0.0
1900.25,0.0,1900.25,0.0
1900.5,0.0,1900.5,0.0
1900.75,0.0,1900.75,0.0
1901.0,0.0,1901.0,0.0
1901.25,0.0,1901.25,0.0
1901.5,0.0,1901.5,0.0
1901.75,0.0,1901.75,0.0
1902.0,0.0,1902.0,0.0
1902.25,0.0,1902.25,0.0
1902.5,0.0,1902.5,0.0
1902.75,0.0,1902.75,0.0
1903.0,0.0,1903.0,0.0
1903.25,0.0,1903.25,0.0
1903.5,0.0,1903.5,0.0
1903.75,0.0,1903.75,0.0
1904.0,0.0,1904.0,0.0
1904.25,0.0,1904.25,0.0
1904.5,0.0,1904.5,0.0
1904.75,0.0,1904.75,0.0
1905.0,0.0,1905.0,0.0
1905.25,0.0,1905.25,0.0
1905.5,0.0,1905.5,0.0
1905.75,0.0,1905.75,0.0
1906.0,0.0,1906.0,0.0
1906.25,0.0,1906.25,0.0
1906.5,0.0,1906.5,0.0
1906.75,0.0,1906.75,0.0
1907.0,0.0,1907.0,0.0
1907.25,0.0,1907.25,0.0
1907.5,0.0,1907.5,0.0
1907.75,0.0,1907.75,0.0
1908.0,0.0,1908.0,0.0
1908.25,0.0,1908.25,0.0
1908.5,0.0,1908.5,0.0
1908.75,0.0,1908.75,0.0
1909.0,0.0,1909.0,0.0
1909.25,0.0,1909.25,0.0
1909.5,0.0,1909.5,0.0
1909.75,0.0,1909.75,0.0
1910.0,0.0,1910.0,0.0
1910.25,0.0,1910.25,0.0
1910.5,0.0,1910.5,0.0
1910.75,0.0,1910.75,0.0
1911.0,0.0,1911.0,0.0
1911.25,0.0,1911.25,0.0
1911.5,0.0,1911.5,0.0
1911.75,0.0,1911.75,0.0
1912.0,0.0,1912.0,0.0
1912.25,0.0,1912.25,0.0
1912.5,0.0,1912.5,0.0
1912.75,0.0,1912.75,0.0
1913.0,0.0,1913.0,0.0
1913.25,0.0,1913.25,0.0
1913.5,0.0,1913.5,0.0
1913.75,0.0,1913.75,0.0
1914.0,0.0,1914.0,0.0
1914.25,0.0,1914.25,0.0
1914.5,0.0,1914.5,0.0
1914.75,0.0,1914.75,0.0
1915.0,0.0,1915.0,0.0
1915.25,0.0,1915.25,0.0
1915.5,0.0,1915.5,0.0
1915.75,0.0,1915.75,0.0
1916.0,0.0,1916.0,0.0
1916.25,0.0,1916.25,0.0
