intensity,lifetime,sleep_states
2.73E+05,4.1895,2
2.73E+05,4.1639,2
2.72E+05,4.1826,2
2.74E+05,4.1991,2
2.70E+05,4.1545,2
2.03E+05,4.1503,2
2.00E+05,4.1542,2
2.00E+05,4.1631,2
1.97E+05,4.1608,2
1.94E+05,4.1469,2
1.92E+05,4.1442,2
1.93E+05,4.1391,2
1.91E+05,4.1381,2
1.93E+05,4.1429,2
1.91E+05,4.1468,2
1.91E+05,4.1476,2
1.95E+05,4.134,2
1.91E+05,4.1256,2
1.92E+05,4.1321,2
1.92E+05,4.1333,2
1.91E+05,4.1181,2
1.96E+05,4.1274,2
1.99E+05,4.1299,2
1.96E+05,4.124,2
1.96E+05,4.1304,2
1.99E+05,4.1388,2
1.93E+05,4.1312,2
1.94E+05,4.1356,2
1.92E+05,4.1366,2
1.92E+05,4.15,2
1.90E+05,4.1527,2
1.92E+05,4.1612,2
1.92E+05,4.1639,2
1.90E+05,4.1611,2
1.94E+05,4.1367,2
1.99E+05,4.1552,2
1.96E+05,4.1622,2
1.96E+05,4.1457,2
1.95E+05,4.1522,2
1.96E+05,4.1556,2
1.93E+05,4.1363,2
1.92E+05,4.1429,2
1.93E+05,4.1595,2
1.95E+05,4.1751,2
1.96E+05,4.1776,2
2.42E+05,4.1545,2
2.41E+05,4.1527,2
2.42E+05,4.1525,2
2.38E+05,4.1536,2
2.40E+05,4.1655,2
2.39E+05,4.1725,2
2.36E+05,4.1755,2
2.36E+05,4.1752,2
2.37E+05,4.173,2
2.37E+05,4.1802,2
2.37E+05,4.1798,2
2.37E+05,4.1831,2
2.37E+05,4.1823,2
2.36E+05,4.1885,2
2.36E+05,4.1898,2
2.37E+05,4.1933,2
2.37E+05,4.1602,2
2.38E+05,4.1654,2
2.38E+05,4.1899,2
3.40E+05,4.1777,2
3.38E+05,4.1738,2
3.39E+05,4.1776,2
3.36E+05,4.173,2
3.38E+05,4.178,2
3.44E+05,4.1699,2
3.45E+05,4.1684,2
3.40E+05,4.162,2
3.39E+05,4.1659,2
3.41E+05,4.1694,2
3.40E+05,4.1737,2
3.37E+05,4.1718,2
3.33E+05,4.1602,2
3.28E+05,4.1595,2
3.24E+05,4.1614,2
3.23E+05,4.168,2
3.22E+05,4.1736,2
3.21E+05,4.1798,2
3.20E+05,4.176,2
4.69E+05,4.1681,2
4.69E+05,4.1577,2
4.68E+05,4.1642,2
4.68E+05,4.1734,2
4.68E+05,4.1769,2
4.68E+05,4.1831,2
4.69E+05,4.1622,2
4.64E+05,4.1709,2
4.63E+05,4.1592,2
4.64E+05,4.1614,2
4.76E+05,4.1773,2
4.54E+05,4.1569,2
4.52E+05,4.1619,2
4.54E+05,4.1772,2
4.54E+05,4.1933,2
4.55E+05,4.2038,2
4.55E+05,4.1486,2
4.55E+05,4.1683,2
4.57E+05,4.187,2
4.59E+05,4.1702,2
4.56E+05,4.1776,2
4.54E+05,4.1882,2
